"";"";"";"";"*video=Ep_80_Leonard_Leo_Knows_How_to_Win_and_How_to_Save_Our_Country_Qh6Y43e02vYen";""
"1";"*video=Ep_80_Leonard_Leo_Knows_How_to_Win_and_How_to_Save_Our_Country_Qh6Y43e02vYen";"-1.76683898097832";"-2.06494663603392";"2.36038672931796";"6"
"2";"*video=Ep_72_Illegal_Chinese_Bio_Labs__Secret_Police_Inside_America_Congressman_Mike_Gallagher_13-lkPU9hqMen";"-1.22618539456969";"-1.94603327320034";"2.09090474156343";"10"
"3";"*video=From_Prosperity_to_Ruins_Venezuelas_Fight_for_Freedom_YEgJKvg9xbUen";"-1.65492415536653";"-2.14304342719256";"2.00919493094119";"13"
"4";"*video=Trillions_in_AI_InvestmentBut_No_Bubble_4FdXvFy3ZY0en";"-1.1169075058128";"-1.68607423604672";"1.98199800654991";"14"
"5";"*video=How_this_Governor_is_Proving_Trump_Right_S6caODsDQYAen";"-1.70195484934634";"-1.82870071507112";"1.90694176277944";"16"
"6";"*video=New_Face_of_DOGE_Agenda_Explains_the_Big_Beautiful_Bill_cev5y2Hb5Rcen";"-1.02689045802219";"-2.00509755370573";"1.58119891784138";"24"
"7";"*video=How_John_Mack_Saved_Morgan_Stanley__Transformed_Wall_Street_W2R7bfrFQ4Men";"-1.02657890262773";"1.57828613437596";"1.52857183539798";"28"
"8";"*video=The_Man_Behind_the_Militarys_Smartest_Self-Driving_Vehicles_3IkwPQedA80en";"1.65157212531479";"0.253021473899702";"1.48618197351559";"31"
"9";"*video=Stephen_Harper_Rejecting_Wokeness_Addressing_China_and_Defending_Western_Values_n2CpZTlTL1Aen";"-1.11867924446197";"-1.37450048087947";"1.47891442403531";"32"
"10";"*video=Ep_57_Balaji_Srinivasan_on_the_Severity_of_the_Bank_Crisis_and_the_Future_of_Bitcoin_QKjfAhnWJqUen";"-0.373448804404372";"-1.49101612138958";"1.46135326783426";"34"
"11";"*video=Ep_82_Rising_Inflation_Looming_Recession_The_State_of_the_Economy_with_Whitney_Baker_cD_2rcNsRNYen";"1.48404800929546";"0.0576051737745714";"1.45969300868575";"35"
"12";"*video=4_Ways_Robots_Are_Already_Taking_Over_LhBcuAHRqNAen";"1.75391133147927";"-0.136164811254936";"1.44502007689022";"36"
"13";"*video=From_Math_Prodigy_to_AI_Genius_How_Scott_Wu_Built_Devin_YwmQzWGyrRQen";"1.22282667344216";"0.418829175690799";"1.4406344866866";"38"
"14";"*video=5_AI_Experts_Reveal_The_Best__Worst_Case_Scenarios_JtFuByhYUT4en";"1.21539273229356";"0.0680539504306273";"1.41894461056529";"39"
"15";"*video=Ep_83_A_New_Leukemia_Cure_with_Ivan_Dimov_of_Orca_Bio_J99MyfKKdeQen";"1.56576797239481";"0.122400943614352";"1.41619421899473";"40"
"16";"*video=Ep_74_Niall_Ferguson__Pano_Kanelos_on_Building_the_University_of_Austin_5l_Bk-zeVMYen";"-1.23154487060619";"1.86457241821668";"1.40957197778727";"41"
"17";"*video=How_AI_is_Fixing_Americas_Most_Boring_Industry_ot0ofWCEuy4en";"1.43860543574441";"0.15938880829244";"1.40649579951588";"42"
"18";"*video=Dr_Mark_Esper_Lessons_from_Russias_Invasion_of_Ukraine_eqedig-EvaEen";"-0.537530963374206";"-1.65873563119673";"1.3963024348569";"43"
"19";"*video=He_Predicted_Putins_Invasion_Now_He_Predicts_When_China_Will_Invade_Taiwan_dPkpBJajfF8en";"-0.341010857014406";"-1.4699334936165";"1.39064502349423";"44"
"20";"*video=Joe_Lonsdale_and_Pano_Kanelos_on_Building_a_New_World-Class_University_hxWLun4Nlzwen";"-1.42275601982393";"1.07555210305521";"1.34850576676634";"45"
"21";"*video=Force_Fields__Directed_Energy_Are_Here_How_Epirus_Is_Changing_Defense_Tech_PFMaaQDvGVQen";"1.50462544064367";"0.0354641542375517";"1.34767250462765";"46"
"22";"*video=Mike_Pompeo_Negotiating_with_Tyrants_Spy_Balloons_or_UFOs__Why_Trump_Didnt_Ban_TikTok__trV3oTKF98en";"-1.30456566472927";"-1.33580236444744";"1.32901495087569";"47"
"23";"*video=From_Palantir_to_Space_Defense_Building_a_100_Billion_Company_hoVEoHXB6NEen";"1.09575422413633";"-0.133103595165175";"1.3260390146661";"48"
"24";"*video=NFL_Legend_Ronnie_Lott_on_Grit_Leadership__What_America_Means_to_Him_ayGzwyR5YEEen";"-1.22418918279604";"1.95957427880222";"1.31095258436566";"49"
"25";"*video=Why_Its_Legally_Impossible_To_Build_In_America_dWwE5Vk2OFAen";"-0.951280511569497";"-1.13012701753186";"1.30242574398405";"51"
"26";"*video=Balaji_Srinivasan_Bitcoin_China_the_Woke_Mob_and_the_Future_of_the_Internet_MMuIyspn7s0en";"-0.450007537372345";"-1.36078608028536";"1.29793364658978";"52"
"27";"*video=How_AI_Agents_Are_Transforming_Logistics_67d8KUrbiCYen";"1.19103741249371";"0.421068741231238";"1.29408059233946";"53"
"28";"*video=This_New_Startup_Is_Disrupting_Healthcare_As_We_Know_It_woTmD-R3EIoen";"1.22780929468432";"0.0806382087576772";"1.29126128435142";"54"
"29";"*video=AI_Vs_Engineers_Will_They_Be_Replaced_xyZABt3sCT4en";"1.51678590101213";"0.0205538914750309";"1.28875523280649";"55"
"30";"*video=How_Hayes_Barnard_Is_Transforming_Solar_Tech__Green_Housing_sytqGvIojlYen";"1.40232717311564";"0.421228800500549";"1.28828534814182";"56"
"31";"*video=Exiled_Crown_Prince_of_Iran_How_to_Liberate_a_Nation_2tx774TWXqIen";"-1.90360534261535";"-2.58639931465231";"1.28141876690873";"57"
"32";"*video=The_Year_That_Changed_Medicine_Forever__Francisco_Gimenez_Explains_the_Biotech_Revolution_UMBNkVKTCI4en";"1.20474102588474";"0.167127921399659";"1.27331795528976";"58"
"33";"*video=What_Happens_When_AI_Can_Do_Every_Job_AOCcqj3oYloen";"-0.978704239824787";"0.595589123590192";"1.25917755944753";"59"
"34";"*video=Ep_90_A_Conversation_with_Wall_Street_Pioneer_Ethan_Penner_jUAu8_ReNTAen";"-1.02987839750128";"1.13479540385578";"1.2572040438559";"60"
"35";"*video=How_to_Disrupt_the_38_Billion_Storage_Industry_6EcNTOec3Qcen";"1.29458546824426";"0.370866194612869";"1.2548107646305";"61"
"36";"*video=Kimmy_Scotti_How_to_Spot_and_Build_the_Next_Big_Thing_MFtexGKDeVEen";"1.29666448546784";"0.405825901594018";"1.2548107646305";"62"
"37";"*video=Sal_Churi_Keri_Findley_and_Wesley_Chan_Innovators_Changing_Our_World_Right_Now_9WYqRab7ysIen";"1.10998098957097";"0.102452153879332";"1.25248640182258";"63"
"38";"*video=Palantir_Co-Founder_on_the_Next_Generation_of_Warfare_RsaoH4knEA8en";"1.52519599817761";"-0.509748056564232";"1.23581489391998";"64"
"39";"*video=Ep_55_Nathan_Mintz_on_Directed_Energy_a_New_Space_Age__the_Final_Hurdles_to_a_Driverless_Future_9SewQ5XabFgen";"1.27814361824581";"0.17964601248074";"1.22832806492952";"65"
"40";"*video=Zach_Latta_Founding_Hack_Club__Inspiring_the_Next_Generation_of_Builders_PaB5ltDmD0Qen";"-0.42520604985672";"1.49456374666372";"1.22500754663249";"66"
"41";"*video=How_200MPH_Flying_Cars_are_about_to_Change_the_World_TVg_DK8-kMwen";"1.17884548542179";"0.428196626875256";"1.22443115477716";"67"
"42";"*video=Ep_66_Bob_McGrew__the_Superstar_Palantir_Alum_Leading_OpenAIs_Transformative_Research_Projects_SeAaxSJ8v6Men";"1.08105306172261";"0.297905987797484";"1.22369813470027";"68"
"43";"*video=How_Founder_Ken_Langone_Turned_Home_Depot_Into_A_400_Billion_Empire_t65qijV0nPcen";"-0.692276586247741";"1.18266523180371";"1.21697565143101";"69"
