"";"";"";"";"optimistic";""
"1";"optimistic";"-1.04116064500432";"1.50351242082767";"1.11132045797185";"79"
"2";"productivity";"1.86508391551826";"-0.146169506412548";"1.06813975544545";"104"
"3";"platform";"1.61927119410098";"-0.331260997209752";"1.02385987599111";"145"
"4";"growth";"1.60292614649132";"-0.168677091886796";"1.02204597193516";"146"
"5";"industry";"1.14395142255785";"-0.115528564377926";"1.02182054455249";"147"
"6";"democracy";"-1.92071040021668";"-2.21996050667426";"1.01456492832871";"155"
"7";"healthcare";"1.52043234309875";"-0.0964864358477757";"1.01386592869251";"157"
"8";"energy";"1.20796509582697";"-0.0694856828469428";"1.00299473685047";"165"
"9";"code";"1.61344853432019";"-0.0440424882092048";"1.00223282724701";"166"
"10";"service";"1.20212628892431";"-0.0688585062091493";"0.999894673463909";"170"
"11";"advance";"1.6779117100625";"-0.144237704154505";"0.995310983349511";"174"
"12";"podcast";"-1.35844646700952";"2.2413094081517";"0.985523240943586";"186"
"13";"found";"-1.1160636627145";"1.99345705959983";"0.984163686651172";"189"
"14";"mom";"-1.21594248266584";"2.23331780836477";"0.983733801874908";"191"
"15";"access";"1.50381645545026";"-0.117922290420247";"0.983400029548621";"192"
"16";"amount";"1.26484089043031";"-0.188449207623445";"0.975020771409644";"206"
"17";"obama";"-2.04538071846542";"-2.57788393226412";"0.972598737670203";"208"
"18";"iraq";"-1.80019379542919";"-2.78262441639296";"0.972598737670203";"209"
"19";"camp";"-1.61094672205124";"-2.69154115137868";"0.971544995718627";"210"
"20";"authority";"-1.57391693768466";"-2.5840669807794";"0.971447135769559";"212"
"21";"field";"1.49278153681821";"-0.112665096691867";"0.967335270409598";"219"
"22";"internet";"1.52091320527993";"-0.166223413142691";"0.96502857161013";"221"
"23";"ten";"1.54443651771558";"-0.226700187572383";"0.959338714571442";"223"
"24";"insurance";"1.7997781811407";"-0.182383613090807";"0.959010184742427";"224"
"25";"agent";"1.79313873903959";"-0.294029128933829";"0.959010184742427";"225"
"26";"disease";"1.88171214016419";"-0.0904367522301462";"0.958599522456158";"226"
"27";"supply";"1.86105610504083";"-0.336094021228336";"0.954821429422483";"230"
"28";"intelligence";"1.37721053529361";"-0.273211806727694";"0.954063014817204";"232"
"29";"rate";"1.24998937935462";"-0.246023037803239";"0.952783845482953";"234"
