"";"X";"V1"
"1";1;1
"2";2;1
"3";3;2
"4";4;1
"5";5;3
"6";6;1
"7";7;2
"8";8;2
"9";9;2
"10";10;2
"11";11;2
"12";12;2
"13";13;2
"14";14;3
"15";15;3
"16";16;2
"17";17;1
"18";18;3
"19";19;2
"20";20;1
"21";21;3
"22";22;2
"23";23;1
"24";24;1
"25";25;3
"26";26;1
"27";27;3
"28";28;3
"29";29;1
"30";30;1
"31";31;2
"32";32;3
"33";33;1
"34";34;2
"35";35;2
"36";36;1
"37";37;3
"38";38;1
"39";39;3
"40";40;2
"41";41;3
"42";42;2
"43";43;2
"44";44;2
"45";45;1
"46";46;3
"47";47;1
"48";48;3
"49";49;3
"50";50;2
"51";51;3
"52";52;3
"53";53;2
"54";54;2
"55";55;1
"56";56;1
"57";57;3
"58";58;1
"59";59;2
"60";60;1
"61";61;1
"62";62;2
"63";63;2
"64";64;2
"65";65;2
"66";66;1
"67";67;3
"68";68;1
"69";69;1
"70";70;2
"71";71;1
"72";72;1
"73";73;1
"74";74;1
"75";75;2
"76";76;1
"77";77;1
"78";78;3
"79";79;1
"80";80;1
"81";81;1
"82";82;3
"83";83;3
"84";84;1
"85";85;1
"86";86;3
"87";87;1
"88";88;2
"89";89;1
"90";90;3
"91";91;1
"92";92;3
"93";93;3
"94";94;1
"95";95;1
"96";96;2
"97";97;2
"98";98;2
"99";99;2
"100";100;2
"101";101;3
"102";102;1
"103";103;1
"104";104;1
"105";105;1
"106";106;1
"107";107;2
"108";108;1
"109";109;1
"110";110;1
"111";111;1
"112";112;1
"113";113;1
"114";114;2
"115";115;1
"116";116;1
"117";117;1
"118";118;1
"119";119;1
"120";120;1
"121";121;1
"122";122;3
"123";123;3
"124";124;1
"125";125;1
"126";126;2
"127";127;1
"128";128;3
"129";129;1
"130";130;2
"131";131;1
"132";132;2
"133";133;2
"134";134;1
"135";135;1
"136";136;1
"137";137;1
"138";138;3
"139";139;1
"140";140;3
"141";141;3
"142";142;2
"143";143;2
"144";144;2
"145";145;3
"146";146;2
"147";147;1
"148";148;1
"149";149;1
"150";150;3
"151";151;3
"152";152;3
"153";153;2
"154";154;1
"155";155;1
"156";156;1
"157";157;1
"158";158;1
"159";159;3
"160";160;2
"161";161;1
"162";162;1
"163";163;1
"164";164;2
"165";165;1
"166";166;2
"167";167;3
"168";168;1
"169";169;1
"170";170;1
"171";171;1
"172";172;2
"173";173;3
"174";174;1
"175";175;3
"176";176;2
"177";177;2
"178";178;2
"179";179;2
"180";180;1
"181";181;2
"182";182;2
"183";183;3
"184";184;2
"185";185;3
"186";186;2
"187";187;3
"188";188;1
"189";189;2
"190";190;3
"191";191;1
"192";192;2
"193";193;3
"194";194;2
"195";195;3
"196";196;2
"197";197;2
"198";198;3
"199";199;3
"200";200;2
"201";201;2
"202";202;2
"203";203;3
"204";204;1
"205";205;2
"206";206;1
"207";207;1
"208";208;1
"209";209;1
"210";210;3
"211";211;1
"212";212;1
"213";213;1
"214";214;1
"215";215;2
"216";216;1
"217";217;1
"218";218;1
"219";219;2
"220";220;1
"221";221;1
"222";222;1
"223";223;1
"224";224;3
"225";225;1
"226";226;1
"227";227;3
"228";228;1
"229";229;3
"230";230;1
"231";231;2
"232";232;2
"233";233;3
"234";234;2
"235";235;3
"236";236;2
"237";237;2
"238";238;1
"239";239;3
"240";240;1
"241";241;2
"242";242;3
"243";243;3
"244";244;3
"245";245;2
"246";246;2
"247";247;1
"248";248;3
"249";249;1
"250";250;2
"251";251;3
"252";252;1
"253";253;2
"254";254;2
"255";255;1
"256";256;2
"257";257;2
"258";258;2
"259";259;2
"260";260;2
"261";261;2
"262";262;1
"263";263;2
"264";264;3
"265";265;3
"266";266;2
"267";267;1
"268";268;1
"269";269;2
"270";270;1
"271";271;1
"272";272;1
"273";273;1
"274";274;2
"275";275;2
"276";276;1
"277";277;1
"278";278;1
"279";279;1
"280";280;1
"281";281;1
"282";282;1
"283";283;1
"284";284;1
"285";285;1
"286";286;3
"287";287;2
"288";288;1
"289";289;1
"290";290;1
"291";291;1
"292";292;1
"293";293;1
"294";294;1
"295";295;1
"296";296;1
"297";297;1
"298";298;1
"299";299;1
"300";300;2
"301";301;2
"302";302;2
"303";303;3
"304";304;2
"305";305;2
"306";306;2
"307";307;2
"308";308;2
"309";309;2
"310";310;2
"311";311;0
"312";312;2
"313";313;2
"314";314;2
"315";315;3
"316";316;1
"317";317;1
"318";318;1
"319";319;1
"320";320;1
"321";321;1
"322";322;3
"323";323;1
"324";324;3
"325";325;1
"326";326;1
"327";327;1
"328";328;3
"329";329;3
"330";330;3
"331";331;3
"332";332;3
"333";333;3
"334";334;3
"335";335;2
"336";336;3
"337";337;1
"338";338;2
"339";339;1
"340";340;1
"341";341;2
"342";342;2
"343";343;1
"344";344;3
"345";345;1
"346";346;1
