"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"uh";-0,0432797408277632;-0,0172528192655688;-0,92891327894822;-0,370297340246545;0,894597533883443;0,105402466114016;3,85713854156543e-05;6,12937342497519e-06;0,0205918769984353;0,0214017910068465;9,43183452850311e-06
"person";-0,437790318297132;0,0621667863530736;-0,990067775832452;0,140590893226343;0,985269690065506;0,0147303099346894;0,00372915598063033;7,5196058717195e-05;0,0194571059255732;0,206285122450921;0,000827968963803871
"thing";0,0854971032799145;-0,0230867511871428;0,965421883439282;-0,260692514231902;0,948710464346432;0,0512895356535495;0,000131644210901799;9,59896944264303e-06;0,0180093883937683;0,0410547933920179;3,03547531890134e-05
"um";0,276625813723707;-0,0361236322107737;0,991581089504064;-0,129487230791047;0,987514295876631;0,0124857041233497;0,00123317869603644;2,10292327746805e-05;0,0161153819987754;0,130196804253735;0,00027317518964816
"yeah";0,051732080496828;0,187981587276085;0,265333595459781;0,96415666938542;0,0926783524195794;0,907321647580391;3,27939732249647e-05;0,000433016826799722;0,0122538948227771;0,0794785816196484;7,74059534608581e-05
"work";0,123123251299137;0,222538509925115;0,484112087849424;0,875005992206951;0,292213292885849;0,707786707114121;0,000137990273107079;0,000450794568873979;0,00910266004490101;0,106529381820394;0,000103301621182429
"year";0,30179078692504;0,0933789776856108;0,955314906344566;0,295589968902656;0,933721044611035;0,0662789553889411;0,000726192529242551;6,95245284105769e-05;0,00797333151915096;0,146075277337592;0,000170134841505724
"kind";-0,00190383979203182;0,11916978826834;-0,0159738211294732;0,999872410379706;0,000344117498477645;0,999655882501497;2,9136909959317e-08;0,000114160280671367;0,00803864208449554;0,0480016688795241;1,85223192754836e-05
"time";0,223056263760668;0,128135110891476;0,867111576708103;0,498113956378245;0,803426185051038;0,196573814948935;0,000356493739388946;0,000117641176383343;0,00716511327301177;0,116391361397716;9,70654241461326e-05
"company";1,26180181123903;0,00479535205514464;0,999992778556784;0,00380037291361416;0,999989291558126;1,0708441853337e-05;0,0103117280626265;1,48932730585798e-07;0,00647663106333764;0,590164099798953;0,00225576956790473
"build";1,16715295751799;0,158642531275483;0,990888573037015;0,134684207777557;0,986487137069661;0,0135128629303162;0,00824817309583148;0,000152384739977199;0,00605483366215389;0,549618543772612;0,0018290474444266
"world";-0,225245017376715;0,240262000434044;-0,683940146266716;0,729538125340042;0,542419608476045;0,457580391523938;0,000274334516835115;0,000312133402081922;0,00540717055582012;0,143043068541714;0,000110637844105605
"good";-0,273347387839707;0,661026973997947;-0,382135720715773;0,924106211943755;0,187409289075318;0,812590710924662;0,000391004127371373;0,002286598157313;0,00523300904823457;0,295323962622774;0,000456403388244632
"start";0,148216603691311;0,526080010726036;0,271180617386471;0,962528478931347;0,0967047100172832;0,903295289982688;0,0001143019933272;0,0014400039723374;0,00520307503911831;0,222921706801725;0,000258562065552242
"big";0,589298899260125;-0,196109103239935;0,948839619158614;-0,315758415746812;0,924120399170589;0,0758796008293926;0,0017464068577527;0,0001934058810269;0,00502891353153276;0,286715166767479;0,000413404788100203
"talk";-0,592644263585272;0,430003684744043;-0,809391932867117;0,587268847300478;0,719255336542354;0,280744663457629;0,00174717562810381;0,000919798605992884;0,00497448806041227;0,326837480742112;0,000531388438829935
