"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16988";"35680";"47.61";"****";""
" 118";" 795";"14.84";"-350.058";"america";"4.115815e-78"
"2704";"7150";"37.82";"-343.870";"person";"9.163212e-77"
" 141";" 857";"16.45";"-341.797";"kid";"2.591189e-76"
"  97";" 713";"13.60";"-337.334";"american";"2.429301e-75"
" 142";" 850";"16.71";"-333.452";"school";"1.701585e-74"
" 200";"1001";"19.98";"-315.262";"state";"1.559540e-70"
" 274";"1158";"23.66";"-275.247";"country";"8.153985e-62"
" 117";" 659";"17.75";"-239.968";"leave";"3.996997e-54"
"  20";" 340";" 5.88";"-239.652";"president";"4.684321e-54"
" 192";" 846";"22.70";"-215.694";"love";"7.865555e-49"
"  54";" 425";"12.71";"-210.112";"university";"1.298579e-47"
"  88";" 522";"16.86";"-200.873";"society";"1.346608e-45"
"  18";" 287";" 6.27";"-198.239";"trump";"5.059961e-45"
"  52";" 399";"13.03";"-193.440";"man";"5.642314e-44"
" 145";" 673";"21.55";"-186.858";"joe";"1.542369e-42"
" 140";" 640";"21.88";"-173.066";"friend";"1.583237e-39"
"  80";" 459";"17.43";"-169.828";"book";"8.066526e-39"
"  52";" 364";"14.29";"-163.751";"leader";"1.714885e-37"
"  18";" 235";" 7.66";"-151.383";"optimist";"8.641858e-35"
" 616";"1828";"33.70";"-149.547";"talk";"2.177788e-34"
" 523";"1595";"32.79";"-147.060";"great";"7.612607e-34"
"  85";" 441";"19.27";"-143.755";"fight";"4.020215e-33"
"   9";" 187";" 4.81";"-138.054";"party";"7.093077e-32"
"  87";" 429";"20.28";"-130.052";"policy";"3.991543e-30"
"  72";" 380";"18.95";"-126.526";"family";"2.358350e-29"
" 202";" 742";"27.22";"-126.284";"feel";"2.664903e-29"
"  18";" 204";" 8.82";"-123.760";"parent";"9.508246e-29"
" 239";" 829";"28.83";"-120.035";"place";"6.215038e-28"
"  71";" 367";"19.35";"-118.779";"student";"1.170920e-27"
"  85";" 405";"20.99";"-116.420";"young";"3.846713e-27"
" 257";" 865";"29.71";"-113.890";"bad";"1.377183e-26"
"   3";" 137";" 2.19";"-113.758";"speech";"1.472270e-26"
"  29";" 227";"12.78";"-111.154";"political";"5.474664e-26"
" 126";" 513";"24.56";"-110.873";"hear";"6.307604e-26"
" 124";" 505";"24.55";"-109.185";"push";"1.478063e-25"
"   4";" 135";" 2.96";"-108.307";"jewish";"2.301660e-25"
"   5";" 136";" 3.68";"-105.653";"court";"8.783411e-25"
"  24";" 203";"11.82";"-104.842";"administration";"1.322680e-24"
"  41";" 258";"15.89";"-104.835";"college";"1.327324e-24"
"  66";" 332";"19.88";"-103.331";"read";"2.835823e-24"
"   5";" 132";" 3.79";"-102.015";"iran";"5.510421e-24"
"   8";" 142";" 5.63";"-100.721";"vote";"1.058765e-23"
" 423";"1254";"33.73";"-100.385";"guy";"1.254640e-23"
"   8";" 138";" 5.80";" -97.113";"regime";"6.547641e-23"
"  11";" 149";" 7.38";" -97.084";"woman";"6.646122e-23"
"  73";" 344";"21.22";" -96.992";"agree";"6.961440e-23"
"  19";" 177";"10.73";" -96.986";"street";"6.980335e-23"
"  82";" 367";"22.34";" -94.924";"view";"1.978237e-22"
"  74";" 342";"21.64";" -93.403";"war";"4.265915e-22"
"  98";" 409";"23.96";" -92.787";"teach";"5.822208e-22"
"   7";" 129";" 5.43";" -92.373";"father";"7.177972e-22"
"   8";" 132";" 6.06";" -91.708";"governor";"1.004419e-21"
" 110";" 440";"25.00";" -91.322";"issue";"1.220961e-21"
"   3";" 111";" 2.70";" -90.033";"democrat";"2.342030e-21"
"  60";" 295";"20.34";" -88.705";"meet";"4.582571e-21"
"  53";" 273";"19.41";" -87.699";"unite";"7.623006e-21"
"   4";" 112";" 3.57";" -87.366";"courage";"9.018163e-21"
"   2";" 104";" 1.92";" -87.292";"communist";"9.360510e-21"
" 100";" 404";"24.75";" -85.609";"law";"2.193276e-20"
"  98";" 398";"24.62";" -85.280";"story";"2.589937e-20"
" 156";" 553";"28.21";" -84.775";"live";"3.342878e-20"
" 142";" 515";"27.57";" -84.127";"culture";"4.638784e-20"
"  19";" 162";"11.73";" -84.011";"politics";"4.919521e-20"
"   8";" 123";" 6.50";" -83.620";"teacher";"5.996367e-20"
"  91";" 376";"24.20";" -83.492";"history";"6.398889e-20"
"  67";" 308";"21.75";" -83.289";"optimistic";"7.090164e-20"
"  15";" 147";"10.20";" -82.812";"debate";"9.025545e-20"
"  73";" 324";"22.53";" -82.463";"speak";"1.076938e-19"
"   4";" 106";" 3.77";" -81.915";"jews";"1.420932e-19"
" 292";" 890";"32.81";" -80.190";"idea";"3.401371e-19"
"  91";" 370";"24.59";" -79.414";"group";"5.036680e-19"
" 150";" 528";"28.41";" -79.232";"china";"5.523490e-19"
"  29";" 188";"15.43";" -78.497";"york";"8.011704e-19"
"  32";" 196";"16.33";" -77.337";"white";"1.441269e-18"
"   3";"  97";" 3.09";" -77.286";"judge";"1.478844e-18"
"   3";"  97";" 3.09";" -77.286";"republican";"1.478844e-18"
"   1";"  88";" 1.14";" -76.394";"pessimism";"2.323511e-18"
"  63";" 283";"22.26";" -73.498";"join";"1.007532e-17"
"  21";" 156";"13.46";" -73.261";"engage";"1.135680e-17"
"  20";" 151";"13.25";" -71.805";"israel";"2.375313e-17"
"  35";" 198";"17.68";" -71.532";"austin";"2.727607e-17"
"  16";" 137";"11.68";" -71.193";"dc";"3.239537e-17"
"  25";" 165";"15.15";" -70.026";"black";"5.851737e-17"
"  11";" 118";" 9.32";" -69.590";"congress";"7.301849e-17"
"   6";"  99";" 6.06";" -68.717";"biden";"1.136313e-16"
"  11";" 117";" 9.40";" -68.711";"harvard";"1.139955e-16"
"  24";" 160";"15.00";" -68.530";"americans";"1.249566e-16"
" 107";" 395";"27.09";" -67.451";"education";"2.160239e-16"
"  17";" 135";"12.59";" -66.627";"west";"3.280169e-16"
"  10";" 109";" 9.17";" -64.763";"professor";"8.449014e-16"
"   4";"  87";" 4.60";" -64.693";"evil";"8.751368e-16"
"  30";" 174";"17.24";" -64.660";"inspire";"8.901202e-16"
"  13";" 119";"10.92";" -64.430";"dad";"9.999908e-16"
"  14";" 122";"11.48";" -64.091";"freedom";"1.188128e-15"
"  43";" 212";"20.28";" -63.860";"california";"1.336119e-15"
"  92";" 349";"26.36";" -63.813";"free";"1.368211e-15"
"   0";"  70";" 0.00";" -63.744";"elect";"1.417047e-15"
"   2";"  78";" 2.56";" -63.599";"cynicism";"1.525343e-15"
"  71";" 291";"24.40";" -63.384";"community";"1.700669e-15"
"   0";"  69";" 0.00";" -62.831";"moderate";"2.251882e-15"
"   9";" 103";" 8.74";" -62.585";"optimism";"2.552259e-15"
"  33";" 179";"18.44";" -61.398";"conversation";"4.663926e-15"
"  15";" 121";"12.40";" -60.364";"peter";"7.884227e-15"
"   1";"  70";" 1.43";" -59.976";"election";"9.602486e-15"
"  22";" 142";"15.49";" -58.966";"truth";"1.604390e-14"
" 115";" 402";"28.61";" -58.876";"fact";"1.678983e-14"
"  29";" 163";"17.79";" -58.380";"san";"2.160865e-14"
"   1";"  68";" 1.47";" -58.153";"religion";"2.424922e-14"
"  13";" 111";"11.71";" -57.534";"note";"3.321482e-14"
"  22";" 140";"15.71";" -57.334";"union";"3.678183e-14"
"   9";"  97";" 9.28";" -57.302";"she_s";"3.738081e-14"
" 718";"1835";"39.13";" -55.824";"back";"7.924377e-14"
"  65";" 263";"24.71";" -55.691";"institution";"8.478786e-14"
" 308";" 875";"35.20";" -55.403";"important";"9.818196e-14"
"  10";"  98";"10.20";" -55.132";"afraid";"1.127151e-13"
" 195";" 598";"32.61";" -54.887";"show";"1.276304e-13"
"  49";" 217";"22.58";" -54.845";"strong";"1.304521e-13"
"  45";" 205";"21.95";" -54.432";"walk";"1.609513e-13"
"   7";"  86";" 8.14";" -53.850";"wife";"2.163497e-13"
"  85";" 314";"27.07";" -53.593";"hope";"2.466450e-13"
"   5";"  78";" 6.41";" -53.202";"democracy";"3.009106e-13"
"   1";"  61";" 1.64";" -51.776";"justice";"6.221759e-13"
"   7";"  83";" 8.43";" -51.196";"western";"8.359901e-13"
"   7";"  83";" 8.43";" -51.196";"disagree";"8.359901e-13"
"  35";" 171";"20.47";" -50.756";"race";"1.045726e-12"
"  27";" 147";"18.37";" -50.613";"francisco";"1.125239e-12"
"  30";" 156";"19.23";" -50.599";"curious";"1.132822e-12"
"  42";" 191";"21.99";" -50.543";"stand";"1.165769e-12"
"   3";"  67";" 4.48";" -50.072";"criminal";"1.482306e-12"
"  26";" 142";"18.31";" -49.077";"child";"2.461693e-12"
"   1";"  58";" 1.72";" -49.044";"mayor";"2.503134e-12"
"   1";"  58";" 1.72";" -49.044";"constitution";"2.503134e-12"
"   6";"  76";" 7.89";" -48.167";"king";"3.913609e-12"
"  84";" 302";"27.81";" -47.860";"positive";"4.577699e-12"
"   5";"  72";" 6.94";" -47.837";"homeless";"4.632740e-12"
"   4";"  68";" 5.88";" -47.564";"honor";"5.323020e-12"
"   0";"  52";" 0.00";" -47.329";"democratic";"6.003136e-12"
"   1";"  56";" 1.79";" -47.223";"admire";"6.335394e-12"
"  49";" 206";"23.79";" -47.155";"chinese";"6.559946e-12"
"  24";" 133";"18.05";" -46.789";"stanford";"7.907413e-12"
"  29";" 148";"19.59";" -46.771";"wake";"7.978062e-12"
"  25";" 136";"18.38";" -46.763";"nation";"8.012452e-12"
"  49";" 205";"23.90";" -46.469";"pass";"9.310174e-12"
"   3";"  63";" 4.76";" -46.459";"visit";"9.357797e-12"
"   4";"  66";" 6.06";" -45.769";"senate";"1.330403e-11"
"  18";" 113";"15.93";" -45.620";"movement";"1.435496e-11"
"   6";"  73";" 8.22";" -45.509";"liberal";"1.519126e-11"
"   0";"  50";" 0.00";" -45.506";"politically";"1.521976e-11"
"  33";" 158";"20.89";" -45.447";"special";"1.568262e-11"
"  20";" 119";"16.81";" -45.426";"mark";"1.585305e-11"
"   1";"  54";" 1.85";" -45.403";"dr";"1.604267e-11"
"  22";" 125";"17.60";" -45.298";"russia";"1.692236e-11"
"  29";" 145";"20.00";" -44.503";"extreme";"2.539940e-11"
"   1";"  53";" 1.89";" -44.492";"chairman";"2.553370e-11"
" 150";" 464";"32.33";" -44.031";"fix";"3.232227e-11"
" 280";" 780";"35.90";" -43.874";"life";"3.502338e-11"
"   6";"  71";" 8.45";" -43.741";"south";"3.747809e-11"
"   0";"  48";" 0.00";" -43.683";"religious";"3.861131e-11"
"   0";"  48";" 0.00";" -43.683";"immigrant";"3.861131e-11"
"   2";"  56";" 3.57";" -43.614";"controversial";"3.998864e-11"
" 392";"1042";"37.62";" -42.964";"government";"5.574446e-11"
"  72";" 262";"27.48";" -42.884";"middle";"5.809125e-11"
"  74";" 267";"27.72";" -42.696";"awesome";"6.393574e-11"
"  12";"  90";"13.33";" -42.505";"podcast";"7.049619e-11"
"  67";" 248";"27.02";" -42.471";"medium";"7.172044e-11"
" 106";" 349";"30.37";" -41.995";"entrepreneur";"9.149109e-11"
"   0";"  46";" 0.00";" -41.861";"racist";"9.802215e-11"
"  57";" 220";"25.91";" -41.802";"listen";"1.009821e-10"
"  12";"  89";"13.48";" -41.665";"lawyer";"1.083253e-10"
"  31";" 147";"21.09";" -41.632";"poor";"1.101643e-10"
