"";"classe 1";"classe 2";"classe 3"
"uh";-0,911;-0,469;3,52
"person";-343,87;132,481;91,186
"thing";20,75;-14,556;-1,625
"um";139,401;-65,748;-27,399
"yeah";4,308;6,898;-28,223
"work";13,861;3,224;-40,561
"year";70,174;-11,381;-39,605
"kind";0,108;2,458;-4,366
"time";34,743;-2,187;-29,139
"company";914,556;-291,545;-303,166
"build";718,892;-163,439;-323,604
"world";-21,819;33,296;-0,5
"good";-37,574;157,22;-39,833
"start";8,423;31,033;-89,984
"big";164,487;-103,54;-17,669
"talk";-149,547;155,555;1,011
"back";-55,824;66,167;0,003
"great";-147,06;488,789;-91,432
"ai";632,295;-221,679;-188,455
"sort";81,042;-57,156;-6,238
"problem";86,675;-76,829;-2,423
"interest";-3,028;2,962;0,04
"call";6,352;-2,227;-1,894
"business";110,432;-21,358;-55,837
"guy";-100,385;131,429;-0,277
"money";147,749;-61,707;-35,076
"stuff";49,378;-27,175;-7,267
"happen";-20,317;-48,478;166,449
"part";-8,745;3,048;2,624
"basically";169,264;-127,905;-10,199
"country";-275,247;6,212;289,152
"system";149,489;-139,03;-3,031
"government";-42,964;-117,018;380,725
"give";-9,754;10,772;0,023
"state";-315,262;-176,253;1258,952
"put";4,108;-37,273;17,728
"learn";31,476;2,424;-69,748
"hard";22,857;-0,838;-21,961
"day";-7,963;78,371;-38,996
"bite";-38,11;96,441;-10,976
"create";62,015;-34,96;-8,669
"school";-333,452;763,217;-68,189
"kid";-341,797;825,139;-84,256
"end";1,054;-0,186;-0,565
"run";0,185;-3,245;2,077
"idea";-80,19;31,15;21,035
"bad";-113,89;-8,541;251,041
"love";-215,694;424,522;-23,917
"point";0,197;0,334;-1,332
"change";7,27;-21,576;3,359
"important";-55,403;7,87;33,643
"high";70,67;-2,895;-66,271
"today";-17,747;153,735;-71,183
"technology";279,89;-83,053;-99,855
"find";-3,253;62,83;-41,604
"understand";-2,161;-0,002;3,2
"place";-120,035;73,111;14,023
"america";-350,058;93,555;137,792
"market";271,255;-127,049;-53,937
"life";-43,874;228,545;-72,596
"feel";-126,284;101,074;6,001
"long";55,92;-14,578;-22,5
"job";-0,008;10,106;-11,175
"pretty";18,688;-3,068;-10,473
"spend";116,92;-46,87;-29,401
"american";-337,334;364,592;1,248
"question";-10,216;15,6;-0,235
"area";45,259;-19,49;-10,273
"side";-27,056;1,747;22,521
"pay";125,828;-57,958;-25,718
"dollar";442,275;-195,893;-96,189
"leave";-239,968;4,635;258,126
"human";108,915;-45,67;-25,709
"bring";-18,349;28,946;-0,554
"joe";-186,858;349,098;-16,139
"friend";-173,066;355,831;-23,256
"show";-54,887;95,344;-3,186
"million";176,184;-65,04;-49,334
"grow";-0,33;57,527;-56,845
"amaze";-9,431;136,911;-81,655
"product";448,194;-160,731;-130,034
"excite";0,114;74,404;-95,092
"guess";0,008;1,25;-1,741
"term";25,998;-47,281;1,953
"early";7,339;2,281;-23,572
"case";29,524;-40,458;0,195
"move";4,687;-3,19;-0,404
"china";-79,232;-185,195;641,357
"live";-84,775;145,239;-4,527
"care";0,601;0,052;-1,365
"real";10,448;-4,648;-2,257
"data";282,756;-116,767;-68,218
"reason";-32,449;4,514;19,918
"focus";23,552;-10,465;-5,097
"culture";-84,127;153,822;-6,503
"level";88,412;-63,211;-6,503
"turn";50,005;-30,197;-5,966
"power";7,253;-55,385;23,702
"ago";0,449;2,075;-5,557
"sense";-5,499;-2,192;19,276
"team";53,862;-3,697;-43,997
"society";-200,873;43,651;93,561
"top";20,342;-0,494;-21,118
"model";231,151;-67,338;-83,968
"crazy";-4,349;-10,86;36,594
"billion";339,642;-135,803;-85,706
"hear";-110,873;178,54;-3,911
"buy";153,26;-41,943;-59,048
"write";-39,706;86,274;-6,678
"push";-109,185;54,825;19,228
"engineer";216,398;-52,895;-91,95
"figure";44,533;-3,065;-36,344
"small";142,277;-42,972;-49,871
"fix";-44,031;0,572;49,874
"tech";3,368;-4,053;0
"book";-169,828;254,728;-3,32
"huge";25,485;-26,504;-0,173
"sell";232,397;-67,894;-84,187
"fight";-143,755;8,145;124,273
"numb";62,027;-50,981;-2,607
"fast";195,5;-69,904;-56,921
"drive";123,027;-35,626;-44,951
"solve";75,949;-20,502;-29,628
"open";52,703;-16,264;-18,073
"future";-6,332;73,865;-40,041
"teach";-92,787;228,602;-24,487
"break";-32,371;-2,01;68,806
"couple";5,938;-0,003;-8,018
"university";-210,112;366,686;-12,536
"city";-16,68;-3,543;47,494
"house";-20,74;-7,106;68,873
"cool";43,863;-0,008;-60,366
"base";44,416;-22,281;-7,836
"law";-85,609;-28,885;282,785
"issue";-91,322;-58,314;385,295
"policy";-130,052;-54,571;464,563
"remember";-4,482;14,177;-2,455
"public";-11,253;-0,658;23,654
"industry";126,946;-51,213;-31,644
"win";-28,904;-5,595;80,102
"thousand";150,097;-59,192;-38,591
"program";7,455;-3,06;-1,814
"young";-116,42;302,954;-36,626
"education";-67,451;122,467;-5,023
"man";-193,44;371,563;-19,144
"story";-85,28;196,674;-17,922
"type";143,75;-58,437;-35,456
"set";34,718;-15,372;-7,555
"talent";10,557;3,737;-35,459
"bunch";20,856;-15,153;-1,451
"fact";-58,876;4,667;45,864
"deal";2,139;-17,38;7,739
"cost";250,169;-118,926;-48,519
"process";96,001;-68,769;-7,015
"wrong";-36,278;34,031;0,69
"student";-118,779;364,896;-60,249
"true";-2,369;9,15;-2,105
"large";110,477;-61,577;-15,827
"health";10,132;-19,723;1,068
"fund";18,288;-19,825;-0,064
"family";-126,526;247,762;-13,706
"scale";276,965;-89,026;-91,003
"play";-12,761;38,006;-5,953
"matter";-5,379;1,91;1,579
"group";-79,414;-9,545;194,163
"realize";-3,846;-0,711;10,521
"innovation";6,733;-0,221;-6,617
"absolutely";0,529;-7,601;4,514
"war";-93,403;-28,397;297,777
"history";-83,492;11,097;52,45
"gonna";3,094;0,743;-9,142
"lead";-6,278;-0,399;13,404
"software";344,774;-133,972;-90,403
"month";41,033;-14,492;-12,124
"challenge";3,288;0,686;-9,313
"free";-63,813;-9,245;163,445
"view";-94,924;11,877;61,416
"space";175,037;-65,859;-47,852
"leader";-163,751;164,077;1,727
"force";-9,899;-12,976;58,401
"smart";-9,239;46,222;-14,134
"invest";134,835;-41,377;-46,506
"energy";116,173;-42,643;-32,761
"control";10,599;-68,03;25,745
"hundred";159,196;-50,611;-52,925
"customer";216,609;-61,395;-80,78
"service";114,399;-41,977;-32,274
"read";-103,331;287,833;-39,904
"opportunity";3,096;0,396;-7,684
"home";-5,072;28,861;-9,914
"experience";-0,781;74,375;-68,872
"entrepreneur";-41,995;211,536;-65,108
"agree";-96,992;3,487;93,583
"president";-239,652;-13,837;502,671
"rule";-15,195;-105,993;249,343
"stop";-2,35;-55,065;97,318
"speak";-82,463;115,044;-0,707
"order";16,511;-29,202;1,064
"involve";-18,925;0,289;21,015
"hire";2,356;14,969;-36,209
"wow";9,276;0,522;-19,368
"easy";76,208;-42,997;-10,634
"defense";14,626;-16,743;-0,011
"economy";101,417;-59,575;-12,923
"super";8,101;0,568;-17,623
"support";-41,559;-0,647;72,749
"optimistic";-83,289;178,162;-13,17
"hope";-53,593;37,96;4,067
"car";175,68;-59,102;-54,907
"low";90,124;-54,69;-10,625
"community";-63,384;110,272;-3,713
"positive";-47,86;61,943;-0,099
"answer";-0,307;0,267;0,01
"totally";-22,823;3,891;12,504
"meet";-88,705;148,917;-4,167
"lose";-15,338;-12,773;72,696
"half";73,321;-22,916;-24,816
"trump";-198,239;-81,686;703,385
"game";11,966;0,053;-18,99
"literally";3,751;-11,005;1,679
"general";3,979;-9,569;0,968
"hey";-3,467;30,098;-13,955
"attack";-13,537;-14,045;71,113
"test";60,856;-18,648;-21,021
"founder";-25,102;135,281;-44,318
"college";-104,835;308,054;-47,121
"successful";-15,548;97,45;-36,21
"study";-32,186;82,47;-9,645
"week";-17,236;59,016;-11,535
"decade";1,973;-13,523;5,373
"versus";25,999;-24,115;-0,538
"valley";-9,02;102,393;-54,788
"military";0,594;-20,426;15,87
"sound";-3,509;4,668;-0,014
"join";-73,498;233,375;-40,668
"line";0,834;-5,209;1,929
"institution";-55,691;9,384;30,73
"fun";-25,586;147,378;-51,148
"step";-2,893;0,56;1,461
"mind";-2,595;21,552;-9,729
"amount";100,165;-44,381;-21,773
"science";2,712;13,421;-35,135
"unite";-87,699;-41,596;328,151
"risk";9,984;-11,094;-0,02
"close";5,126;-2,53;-0,931
"bill";0,139;-34,517;35,116
"middle";-42,884;42,383;0,52
"awesome";-42,696;179,4;-45,672
"hand";-0,037;-1,532;2,461
"forward";-14,114;6,593;2,819
"rate";87,44;-42,481;-16,335
"medium";-42,471;0;59,978
"train";72,058;-15,089;-34,481
"network";173,674;-76,804;-37,863
"single";10,801;-8,25;-0,624
"machine";181,801;-65,815;-52,147
"private";11,653;-9,703;-0,46
"office";-16,077;15,745;0,213
"class";-22,862;84,32;-18,274
"hour";8,955;0,425;-18,16
"word";-0,974;3,464;-0,715
"impact";1,018;-0,388;-0,274
"healthcare";122,394;-45,17;-34,284
"capital";60,818;-25,861;-14,066
"sit";-2,596;25,816;-12,918
"startup";39,687;-0,363;-46,647
"imagine";2,512;-2,954;0
"funny";-34,109;68,251;-4,074
"bank";35,093;-23,878;-3,025
"raise";17,4;-0,156;-20,486
"clear";-1,418;-35,76;62,363
"begin";-2,678;1,781;0,247
"apply";1,934;0,87;-7,092
"exist";48,443;-33,314;-4,042
"drug";25,783;-52,959;3,45
"computer";121,127;-26,097;-56,774
"ceo";-25,143;125,618;-38,363
"investor";57,632;-10,7;-29,937
"cut";24,69;-14,899;-2,951
"elon";-0,143;9,803;-8,669
"hit";52,826;-12,914;-22,444
"decision";-0,621;-18,93;31,952
"share";-23,675;3,864;13,312
"ability";28,148;-7,986;-10,487
"principle";-15,483;16,57;0,068
"growth";127,075;-51,197;-31,735
"texas";-41,439;39,893;0,639
"design";43,561;-13,988;-14,328
"watch";-26,505;52,997;-3,156
"organization";-4,664;-0,594;11,563
"code";115,737;-39,325;-35,768
"strong";-54,845;6,529;36,32
"project";48,819;-18,158;-13,542
"silicon";-3,988;69,585;-44,5
"political";-111,154;-21,635;308,535
"optimist";-151,383;363,651;-36,694
"ton";101,717;-36,594;-29,398
"yep";16,589;-8,613;-2,744
"social";-23,99;-12,489;93,096
"platform";128,113;-62,772;-23,578
"mention";-17,583;8,122;3,577
"california";-63,86;-6,934;152,436
"worry";-6,709;-0,089;11,56
"listen";-41,802;64,723;-1,084
"chinese";-47,155;-46,869;242,67
"approach";1,104;1,051;-5,568
"solution";4,04;-13,361;2,48
"regulation";22,401;-48,375;3,678
"partner";3,016;3,395;-16,487
"intelligence";88,172;-42,857;-16,458
"continue";0,063;-0,594;0,289
"access";104,96;-40,024;-28,206
"productivity";153,452;-58,186;-41,539
"parent";-123,76;281,599;-24,77
"key";16,475;-5,989;-4,701
"stay";-2,131;24,409;-13,117
"price";162,555;-66,106;-40,074
"plan";17,335;-15,936;-0,382
"austin";-71,532;143,81;-8,724
"background";-35,484;78,007;-6,243
"head";-12,391;0,544;11,433
"consumer";148,563;-56,624;-39,949
"walk";-54,432;149,777;-20,28
"trillion";152,712;-62,345;-37,443
"tax";-1,797;-47,182;81,692
"administration";-104,842;-30,519;329,45
"white";-77,337;105,259;-0,457
"tough";-32,617;51,459;-0,985
"quickly";86,495;-34,081;-22,264
"past";-19,405;0,008;26,398
"folk";0,699;-0,447;-0,072
"success";-1,582;20,608;-11,745
"percent";27,892;-18,171;-2,73
"hold";-16,027;-16,036;82,739
"economic";0,036;-49,965;55,309
"tool";68,41;-35,92;-11,072
"pass";-46,469;-9,792;132
"incredible";9,15;-0,009;-12,196
"completely";0,474;-4,383;2,109
"operate";48,753;-33,3;-4,154
"nuclear";81,995;-41,033;-14,53
"incentive";0,053;-16,435;16,99
"moment";-6,074;16,145;-2,04
"generation";-24,308;28,878;0,001
"field";95,767;-36,296;-25,939
"trade";0,903;-17,88;11,939
"party";-138,054;-12,595;316,961
"ahead";1,93;-0,047;-2
"framework";-0,111;-0,013;0,267
"difference";-1,244;0,392;0,417
"skill";30,815;-1,133;-29,593
"environment";41,311;-16,847;-10,144
"save";36,472;-14,411;-9,353
"manufacture";129,465;-57,712;-27,878
"stand";-50,543;3,504;41,156
"similar";8,947;-15,849;0,582
"goal";33,707;-23,052;-2,861
"benefit";0,004;-21,529;24,529
"form";12,297;-14,322;-0,004
"york";-78,497;82,583;0,452
"decide";-14,649;8,595;1,872
"launch";72,31;-29,611;-17,654
"internet";94,447;-38,426;-23,269
"advance";111,776;-43,19;-29,526
"conversation";-61,398;39,631;6,165
"mission";19,367;-7,321;-5,264
"front";-2,021;0,611;0,708
"choice";-31,977;6,38;15,829
"age";-11,715;72,328;-26,56
"race";-50,756;3,207;42,522
"google";69,502;-17,391;-28,964
"average";1,177;0;-1,718
"pull";1,937;-0,005;-2,495
"piece";19,216;-7,769;-4,776
"fire";-0,635;-7,824;15,829
"cheap";147,014;-57,34;-38,359
"agency";-12,224;-22,986;87,424
"phone";35,07;-5,825;-19,517
"brain";51,617;-13,553;-20,639
"street";-96,986;3,859;91,552
"progress";-0,597;-0,861;3,698
"india";-3,499;-0,001;5,083
"god";-5,615;8,407;-0,108
"suppose";-7,025;1,027;4,202
"grind";35,498;-17,702;-6,33
"global";58,244;-25,412;-12,963
"massive";54,907;-38,04;-4,476
"charge";-6,028;-21,608;63,288
"board";-3,446;6,945;-0,425
"tie";-18,441;15,48;0,699
"security";2,625;-38,93;23,417
"competition";-1,328;-9,029;21,401
"black";-70,026;43,252;7,899
"trust";2,639;-21,159;9,345
"ten";91,191;-40,017;-20,118
"reality";11,617;-2,064;-6,205
"compete";12,6;-13,841;-0,034
"version";0,877;-13,743;8,446
"politics";-84,011;9,995;55,652
