uh;3566;2204;1797
person;2704;2502;1944
thing;3318;1821;1479
um;3234;1484;1204
yeah;2209;1401;893
work;1695;1030;620
year;1612;783;535
kind;1415;907;632
time;1399;742;492
company;1845;334;201
build;1671;389;165
world;845;699;443
good;785;810;328
start;972;671;269
big;1148;350;350
talk;616;775;437
back;718;695;422
great;523;863;209
ai;1117;160;107
sort;874;306;300
problem;776;238;272
interest;624;434;319
call;664;359;278
business;755;284;170
guy;423;551;280
money;768;227;187
stuff;694;274;238
happen;480;237;450
part;501;367;288
basically;783;174;226
country;274;379;505
system;709;143;223
government;392;150;500
give;466;368;251
state;200;106;695
put;518;213;290
learn;537;301;111
hard;548;280;167
day;414;406;140
bite;380;434;186
create;566;195;178
school;142;613;95
kid;141;631;85
end;465;272;207
run;432;239;223
idea;292;337;261
bad;257;216;392
love;192;519;135
point;437;274;193
change;441;188;216
important;308;295;272
high;518;224;94
today;360;427;99
technology;630;125;70
find;364;343;111
understand;365;238;207
place;239;355;235
america;118;357;320
market;575;80;87
life;280;420;80
feel;202;342;198
long;461;175;119
job;335;246;125
pretty;395;188;127
spend;469;122;99
american;97;440;176
question;287;250;153
area;410;148;121
side;243;206;199
pay;444;101;93
dollar;566;28;43
leave;117;219;323
human;425;107;90
bring;255;253;141
joe;145;417;111
friend;140;404;96
show;195;284;119
million;429;81;61
grow;274;257;59
amaze;256;313;48
product;510;28;15
excite;296;277;40
guess;282;186;122
term;328;92;143
early;313;190;86
case;333;98;134
move;296;148;124
china;150;14;364
live;156;291;106
care;267;162;113
real;303;141;113
data;439;42;41
reason;199;187;172
focus;313;125;102
culture;142;279;94
level;351;70;94
turn;338;101;100
power;275;75;164
ago;274;180;105
sense;231;144;167
team;330;133;56
society;88;222;212
top;297;145;75
model;397;61;27
crazy;229;122;180
billion;422;24;24
hear;126;288;99
buy;352;73;37
write;169;242;91
push;124;224;157
engineer;382;67;21
figure;317;132;60
small;360;77;46
fix;150;144;170
tech;246;120;109
book;80;290;89
huge;285;91;107
sell;361;49;19
fight;85;157;199
numb;300;65;90
fast;364;53;37
drive;328;74;43
solve;306;89;55
open;289;93;65
future;190;217;48
teach;98;259;52
break;156;120;178
couple;252;139;83
university;54;304;67
city;155;104;153
house;149;96;164
cool;279;129;33
base;275;83;75
law;100;70;234
issue;110;57;273
policy;87;57;285
remember;187;165;87
public;158;111;133
industry;314;57;48
win;135;95;165
thousand;309;47;39
program;214;100;79
young;85;278;42
education;107;216;72
man;52;292;55
story;98;244;56
type;317;51;44
set;255;85;71
talent;201;122;35
bunch;239;84;83
fact;115;138;149
deal;203;79;114
cost;328;14;29
process;280;40;67
wrong;121;162;93
student;71;274;22
true;161;135;73
large;290;45;57
health;204;69;92
fund;208;66;79
family;72;251;57
scale;329;25;7
play;133;155;61
matter;154;121;95
group;91;82;197
realize;166;107;116
innovation;203;106;65
absolutely;187;87;104
war;74;56;212
history;91;140;145
gonna;166;100;50
lead;150;102;113
software;340;5;6
month;229;72;54
challenge;185;111;57
free;92;77;180
view;82;138;147
space;289;34;26
leader;52;218;94
force;140;74;142
smart;141;163;52
invest;279;50;28
energy;265;47;35
control;186;29;114
hundred;291;45;25
customer;288;32;7
service;263;47;35
read;66;238;28
opportunity;184;109;59
home;135;140;51
experience;164;181;17
entrepreneur;106;226;17
agree;73;117;154
president;20;69;251
rule;116;10;190
stop;141;35;149
speak;73;183;68
order;197;54;85
involve;117;101;110
hire;168;127;29
wow;181;101;41
easy;230;41;49
defense;171;54;66
economy;237;30;45
super;172;97;40
support;90;84;133
optimistic;67;197;44
hope;85;142;87
car;247;25;13
low;224;30;45
community;71;167;53
positive;84;151;67
answer;139;93;70
totally;107;108;98
meet;60;182;53
lose;107;59;129
half;207;47;30
trump;18;15;254
game;160;83;33
literally;157;61;77
general;158;63;75
hey;125;130;41
attack;101;53;122
test;184;44;28
founder;90;169;17
college;41;204;13
successful;103;160;23
study;81;146;40
week;100;142;41
decade;146;55;81
versus;173;44;58
valley;104;155;11
military;129;43;86
sound;111;94;60
join;63;200;20
line;137;63;72
institution;65;100;98
fun;88;171;13
step;116;86;71
mind;119;117;42
amount;211;30;30
science;135;102;19
unite;53;32;188
risk;136;46;53
close;144;66;54
bill;121;31;96
middle;72;125;65
awesome;74;178;15
hand;118;65;68
forward;97;98;73
rate;187;25;29
medium;67;73;108
train;184;45;18
network;220;10;16
single;147;54;53
machine;212;12;7
private;139;48;50
office;85;100;59
class;79;137;28
hour;130;71;25
word;97;77;45
impact;125;68;53
healthcare;195;22;16
capital;172;34;30
sit;105;109;33
startup;164;67;11
imagine;131;61;57
funny;75;135;45
bank;141;29;37
raise;141;65;24
clear;106;29;107
begin;103;81;59
apply;123;76;37
exist;165;29;41
drug;140;15;61
computer;188;31;4
ceo;76;150;15
investor;159;42;16
cut;142;39;40
elon;109;91;35
hit;162;42;22
decision;98;35;85
share;70;79;74
ability;149;48;32
principle;72;89;50
growth;186;16;15
texas;55;105;54
design;157;41;28
watch;64;111;38
organization;91;61;73
code;169;18;10
strong;49;81;87
project;151;34;26
silicon;90;121;9
political;29;35;163
optimist;18;202;15
ton;176;23;16
yep;137;46;41
social;67;40;109
platform;183;10;19
mention;75;85;63
california;43;45;124
worry;80;59;68
listen;57;119;44
chinese;49;16;141
approach;113;72;36
solution;115;38;58
regulation;128;14;57
partner;111;73;23
intelligence;162;17;22
continue;109;61;55
access;170;19;15
productivity;179;9;7
parent;18;169;17
key;132;47;36
stay;89;94;26
price;178;5;7
plan;124;33;42
austin;35;135;28
background;57;120;33
head;75;67;69
consumer;179;10;8
walk;45;140;20
trillion;169;5;7
tax;79;12;94
administration;24;24;155
white;32;123;41
tough;55;105;40
quickly;169;24;20
past;69;63;80
folk;107;58;47
success;90;91;27
percent;121;27;32
hold;65;32;98
economic;98;14;91
tool;146;18;24
pass;49;40;116
incredible;116;58;25
completely;103;47;56
operate;145;22;34
nuclear;143;13;19
incentive;93;31;68
moment;77;84;37
generation;57;90;44
field;157;18;14
trade;96;29;63
party;9;33;145
ahead;99;54;35
framework;91;57;48
difference;86;62;49
skill;128;49;12
environment;134;30;25
save;129;31;25
manufacture;159;6;11
stand;42;68;81
similar;111;31;48
goal;128;25;33
benefit;89;26;71
form;114;32;43
york;29;112;47
decide;65;75;52
launch;140;19;17
internet;150;15;14
advance;153;12;10
conversation;33;91;55
mission;114;36;28
front;78;59;47
choice;42;63;59
age;62;104;12
race;35;61;75
google;137;26;10
average;86;49;31
pull;94;52;32
piece;115;36;29
fire;73;32;59
cheap;159;5;5
agency;57;21;89
phone;120;36;15
brain;127;28;14
street;19;64;94
progress;75;44;49
india;60;44;46
god;69;70;39
suppose;65;57;51
grind;122;26;26
global;133;21;20
massive;134;15;29
charge;68;24;85
board;68;65;35
tie;57;77;46
security;94;14;67
competition;73;32;64
black;25;87;53
trust;92;23;56
ten;141;12;14
reality;102;41;25
compete;104;28;38
version;89;29;56
politics;19;66;77
infrastructure;160;6;6
deep;91;66;17
inspire;30;122;22
develop;126;26;21
ultimately;81;49;48
protect;63;12;82
powerful;60;34;76
israel;20;52;79
eventually;121;29;22
common;37;56;71
perspective;60;61;46
national;46;27;96
kill;74;17;67
entire;115;26;36
cuz;72;90;12
send;87;34;48
sale;127;13;14
philosophy;37;89;24
manage;110;32;26
food;105;34;12
store;119;20;5
safe;110;30;21
europe;37;25;92
structure;90;23;42
incredibly;90;53;23
career;49;106;15
vote;8;8;126
quality;101;38;11
correct;64;36;58
serve;58;61;43
san;29;88;46
information;130;10;17
scary;77;40;51
result;88;39;40
asset;122;5;18
vehicle;146;1;2
special;33;54;71
anymore;79;44;48
role;50;72;36
essentially;109;17;40
woman;11;116;22
full;88;53;22
drone;120;0;2
cell;124;3;1
shift;80;45;33
poor;31;74;42
americans;24;51;85
critical;89;32;35
local;68;25;62
air;121;15;10
truth;22;85;35
recently;46;66;52
multiple;107;20;20
fair;56;51;50
curious;30;87;39
center;77;33;43
debate;15;52;80
room;48;87;18
engage;21;90;45
advantage;96;31;24
water;109;24;10
lesson;48;81;20
add;115;9;18
wait;67;59;25
finance;106;29;12
extreme;29;20;96
court;5;7;124
civilization;35;83;24
anti;30;13;101
wave;102;22;19
venture;108;34;4
assume;55;42;45
regime;8;8;122
math;88;42;2
investment;124;18;10
fly;114;15;14
fail;40;48;46
child;26;89;27
late;61;54;33
direction;65;39;44
wake;29;61;58
speech;3;40;94
pick;61;55;22
mistake;49;40;58
insurance;112;6;6
include;68;32;49
die;48;57;42
argument;39;42;65
union;22;10;108
sudden;85;38;22
stanford;24;104;5
francisco;27;77;43
department;43;21;71
crisis;47;17;63
century;35;52;51
act;38;31;71
sector;86;20;40
individual;64;18;59
effect;106;15;16
difficult;83;32;27
resource;85;19;41
fall;48;38;53
situation;55;31;63
short;105;27;13
research;97;28;18
regulatory;83;4;49
provide;105;17;18
iran;5;15;112
happy;40;58;37
expensive;113;13;9
door;78;29;13
check;65;42;34
teacher;8;87;28
jewish;4;103;28
tend;44;34;60
land;76;30;25
governor;8;34;90
major;57;38;43
inside;74;19;46
doctor;86;22;18
nice;56;44;40
father;7;108;14
dc;16;37;84
agent;112;4;8
nation;25;31;80
degree;69;51;12
west;17;49;69
deliver;109;8;7
complicate;84;26;26
claim;98;7;13
treat;71;26;30
negative;56;55;18
road;94;27;9
require;86;13;30
revolution;81;23;26
minute;75;40;17
increase;111;6;12
federal;42;3;90
favorite;42;77;9
shoot;91;15;16
peter;15;101;5
slow;123;6;6
ship;102;10;14
online;76;33;23
fine;68;46;24
core;58;54;20
worth;88;26;21
vision;65;45;18
news;34;69;20
necessarily;70;31;37
freedom;14;42;66
drop;41;68;10
giant;104;11;11
enterprise;101;18;11
balance;53;12;58
measure;70;19;30
leadership;25;48;50
disease;105;6;3
cycle;100;11;13
credit;75;33;18
beautiful;45;72;8
theory;32;18;74
rich;30;42;39
rest;54;53;24
path;55;48;18
mark;20;81;18
debt;89;13;7
face;32;64;29
explain;42;39;37
employee;87;23;18
deploy;112;9;8
dad;13;103;3
courage;4;76;32
chance;48;58;26
russia;22;3;100
population;76;19;22
perfect;73;26;22
improve;72;24;27
weird;46;41;32
throw;67;22;36
respect;24;43;48
born;23;72;19
wine;51;37;0
surprise;66;25;29
relate;70;40;17
harvard;11;98;8
simple;71;27;31
practice;74;35;16
extremely;67;47;8
budget;64;8;46
source;93;11;13
number;80;24;22
firm;51;48;11
expect;78;23;17
attention;54;33;32
congress;11;6;101
speed;89;13;7
outcome;77;27;19
obvious;51;15;54
industrial;85;8;20
fascinate;34;58;33
dod;93;17;6
digital;99;6;13
demand;92;6;10
she_s;9;79;9
profit;72;21;19
found;23;86;10
forget;42;42;38
terrible;36;30;49
position;50;19;50
nature;58;22;39
movement;18;28;67
legal;37;25;52
choose;28;61;20
argue;23;34;62
supply;103;2;7
stock;98;5;5
financial;80;19;20
wall;46;30;31
return;81;13;18
john;33;54;15
bottom;69;25;22
blue;41;14;51
basic;66;21;29
paper;77;26;11
healthy;50;50;14
town;44;51;11
stick;54;52;13
professor;10;91;8
modern;50;30;36
miss;35;45;33
hack;53;40;7
democrat;3;5;103
complex;82;17;12
threat;48;11;49
rid;37;14;56
jews;4;52;50
chip;97;1;4
robot;90;2;4
patient;100;2;1
natural;64;26;18
current;54;21;32
clean;73;14;15
beat;47;28;36
trouble;41;30;42
concern;36;17;60
wealth;38;32;37
note;13;76;22
manager;57;29;10
limit;67;17;26
hate;18;41;46
development;80;18;12
capitalism;35;12;57
pro;31;17;49
opinion;37;48;19
inflation;79;7;9
hospital;66;13;14
communist;2;10;92
post;30;43;29
mine;54;34;13
efficient;101;5;3
context;48;21;43
red;19;18;69
produce;86;8;9
dynamic;72;12;26
differently;54;29;22
capture;43;15;47
specific;77;8;14
ready;58;31;14
proud;22;64;16
material;75;13;9
equity;77;8;13
educate;37;52;20
twitter;34;23;44
target;66;8;19
standard;77;18;10
jump;54;37;16
judge;3;23;71
depend;57;24;26
application;86;12;1
revenue;85;9;6
normal;44;29;27
lucky;42;57;6
fit;81;13;13
cancer;84;9;2
builder;35;61;6
actual;65;19;25
size;90;7;8
reform;19;11;68
reach;33;52;22
night;32;59;12
music;31;61;7
language;68;23;8
eat;62;28;3
earth;71;22;4
blow;79;13;11
report;51;19;27
player;49;26;13
period;57;25;25
medical;71;24;6
management;81;13;10
graduate;24;74;6
finally;35;23;49
facebook;60;16;23
email;57;28;9
truck;83;8;1
relationship;30;30;36
optimism;9;87;7
fundamental;72;11;24
enable;83;7;13
catch;50;25;28
afraid;10;50;38
action;27;18;55
account;63;18;20
track;65;16;20
sign;37;25;39
page;63;23;11
follow;32;25;47
feedback;71;13;11
failure;29;27;36
biden;6;3;90
battery;84;3;1
secretary;17;30;37
republican;3;3;91
operation;66;10;21
mess;40;24;34
flow;72;6;9
ecosystem;73;19;8
worker;44;21;31
waste;67;11;17
fundamentally;59;13;24
scare;40;20;33
property;38;11;45
physical;68;10;9
mom;16;74;6
lawyer;12;39;38
hurt;26;15;56
destroy;56;6;37
concept;63;23;14
video;49;28;18
succeed;23;59;11
safety;63;6;28
light;55;26;10
huh;40;39;24
capability;94;1;1
bond;76;12;3
washington;18;31;49
technical;79;11;7
pale;48;39;5
eye;46;25;18
effort;38;31;30
cultural;15;39;41
warfare;76;3;9
strategy;61;8;28
option;42;30;20
knowledge;61;26;10
effectively;50;7;39
canada;22;31;35
bias;38;23;27
battle;30;10;51
brand;60;23;3
solar;77;4;0
record;47;29;16
interview;31;54;6
medicine;65;14;4
grade;19;59;1
evolve;61;17;17
dangerous;33;9;47
autonomous;90;0;4
root;39;34;16
replace;68;11;9
mile;71;10;7
journey;43;52;1
define;56;20;14
purpose;54;22;15
income;43;11;25
gold;56;5;13
frankly;22;44;30
club;17;55;1
respond;41;5;43
opposite;22;36;34
list;48;22;19
laughter;29;47;19
experiment;57;10;18
driver;53;21;5
affect;32;23;32
wife;7;70;9
touch;43;38;10
topic;12;53;22
taiwan;19;2;57
potential;77;10;6
double;65;10;9
death;17;24;38
cover;48;21;22
convince;39;38;11
civil;17;17;54
chain;68;7;13
cartel;24;0;41
unique;35;35;16
status;43;9;27
plant;68;6;4
oppose;32;12;49
moon;65;6;10
identify;36;26;27
connect;63;15;13
roll;47;25;16
