"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;7;9;11;11;11;11;11;11;11
"2";2;5;7;9;11;11;11;11;11;11;11
"3";2;5;7;9;10;13;14;17;19;21;22
"4";2;5;7;9;11;11;11;11;11;11;11
"5";2;5;7;9;10;13;14;17;19;21;23
"6";2;5;7;9;11;11;11;11;11;11;11
"7";2;5;7;9;10;13;14;17;19;21;22
"8";2;5;7;9;10;13;14;17;19;21;22
"9";2;5;7;9;10;13;14;17;19;21;22
"10";2;5;7;9;10;13;14;17;19;21;22
"11";2;5;7;9;10;13;14;17;19;21;22
"12";2;5;7;9;10;13;14;17;19;21;22
"13";2;5;7;9;10;13;14;17;19;21;22
"14";2;5;7;9;10;13;14;17;19;21;23
"15";2;5;7;9;10;13;14;17;19;21;23
"16";2;5;7;9;10;13;14;17;19;21;22
"17";2;5;7;9;11;11;11;11;11;11;11
"18";2;5;7;9;10;13;14;17;19;21;23
"19";2;5;7;9;10;13;14;17;19;21;22
"20";2;5;7;9;11;11;11;11;11;11;11
"21";2;5;7;9;10;13;14;17;19;21;23
"22";2;5;7;9;10;13;14;17;19;21;22
"23";2;5;7;9;11;11;11;11;11;11;11
"24";2;5;7;9;11;11;11;11;11;11;11
"25";2;5;7;9;10;13;14;17;19;21;23
"26";2;5;7;9;11;11;11;11;11;11;11
"27";2;5;7;9;10;13;14;17;19;21;23
"28";2;5;7;9;10;13;14;17;19;21;23
"29";2;5;7;9;11;11;11;11;11;11;11
"30";2;5;7;9;11;11;11;11;11;11;11
"31";2;5;7;9;10;13;14;17;19;21;22
"32";2;5;7;9;10;13;14;17;19;21;23
"33";2;5;7;9;11;11;11;11;11;11;11
"34";2;5;7;9;10;13;14;17;19;21;22
"35";2;5;7;9;10;13;14;17;19;21;22
"36";2;5;7;9;11;11;11;11;11;11;11
"37";2;5;7;9;10;13;14;17;19;21;23
"38";2;5;7;9;11;11;11;11;11;11;11
"39";2;5;7;9;10;13;14;17;19;21;23
"40";2;5;7;9;10;13;14;17;19;21;22
"41";2;5;7;9;10;13;14;17;19;21;23
"42";2;5;7;9;10;13;14;17;19;21;22
"43";2;5;7;9;10;13;14;17;19;21;22
"44";2;5;7;9;10;13;14;17;19;21;22
"45";2;5;7;9;11;11;11;11;11;11;11
"46";2;5;7;9;10;13;14;17;19;21;23
"47";2;5;7;9;11;11;11;11;11;11;11
"48";2;5;7;9;10;13;14;17;19;21;23
"49";2;5;7;9;10;13;14;17;19;21;23
"50";2;5;7;9;10;13;14;17;19;21;22
"51";2;5;7;9;10;13;14;17;19;21;23
"52";2;5;7;9;10;13;14;17;19;21;23
"53";2;5;7;9;10;13;14;17;19;21;22
"54";2;5;7;9;10;13;14;17;19;21;22
"55";2;5;7;9;11;11;11;11;11;11;11
"56";2;5;7;9;11;11;11;11;11;11;11
"57";2;5;7;9;10;13;14;17;19;21;23
"58";2;5;7;9;11;11;11;11;11;11;11
"59";2;5;7;9;10;13;14;17;19;21;22
"60";2;5;7;9;11;11;11;11;11;11;11
"61";2;5;7;9;11;11;11;11;11;11;11
"62";2;5;7;9;10;13;14;17;19;21;22
"63";2;5;7;9;10;13;14;17;19;21;22
"64";2;5;7;9;10;13;14;17;19;21;22
"65";2;5;7;9;10;13;14;17;19;21;22
"66";2;5;7;9;11;11;11;11;11;11;11
"67";2;5;7;9;10;13;14;17;19;21;23
"68";2;5;7;9;11;11;11;11;11;11;11
"69";2;5;7;9;11;11;11;11;11;11;11
"70";2;5;7;9;10;13;14;17;19;21;22
"71";2;5;7;9;11;11;11;11;11;11;11
"72";2;5;7;9;11;11;11;11;11;11;11
"73";2;5;7;9;11;11;11;11;11;11;11
"74";2;5;7;9;11;11;11;11;11;11;11
"75";2;5;7;9;10;13;14;17;19;21;22
"76";2;5;7;9;11;11;11;11;11;11;11
"77";2;5;7;9;11;11;11;11;11;11;11
"78";2;5;7;9;10;13;14;17;19;21;23
"79";2;5;7;9;11;11;11;11;11;11;11
"80";2;5;7;9;11;11;11;11;11;11;11
"81";2;5;7;9;11;11;11;11;11;11;11
"82";2;5;7;9;10;13;14;17;19;21;23
"83";2;5;7;9;10;13;14;17;19;21;23
"84";2;5;7;9;11;11;11;11;11;11;11
"85";2;5;7;9;11;11;11;11;11;11;11
"86";2;5;7;9;10;13;14;17;19;21;23
"87";2;5;7;9;11;11;11;11;11;11;11
"88";2;5;7;9;10;13;14;17;19;21;22
"89";2;5;7;9;11;11;11;11;11;11;11
"90";2;5;7;9;10;13;14;17;19;21;23
"91";2;5;7;9;11;11;11;11;11;11;11
"92";2;5;7;9;10;13;14;17;19;21;23
"93";2;5;7;9;10;13;14;17;19;21;23
"94";2;5;7;9;11;11;11;11;11;11;11
"95";2;5;7;9;11;11;11;11;11;11;11
"96";2;5;7;9;10;13;14;17;19;21;22
"97";2;5;7;9;10;13;14;17;19;21;22
"98";2;5;7;9;10;13;14;17;19;21;22
"99";2;5;7;9;10;13;14;17;19;21;22
"100";2;5;7;9;10;13;14;17;19;21;22
"101";2;5;7;9;10;13;14;17;19;21;23
"102";2;5;7;9;11;11;11;11;11;11;11
"103";2;5;7;9;11;11;11;11;11;11;11
"104";2;5;7;9;11;11;11;11;11;11;11
"105";2;5;7;9;11;11;11;11;11;11;11
"106";2;5;7;9;11;11;11;11;11;11;11
"107";2;5;7;9;10;13;14;17;19;21;22
"108";2;5;7;9;11;11;11;11;11;11;11
"109";2;5;7;9;11;11;11;11;11;11;11
"110";2;5;7;9;11;11;11;11;11;11;11
"111";2;5;7;9;11;11;11;11;11;11;11
"112";2;5;7;9;11;11;11;11;11;11;11
"113";2;5;7;9;11;11;11;11;11;11;11
"114";2;5;7;9;10;13;14;17;19;21;22
"115";2;5;7;9;11;11;11;11;11;11;11
"116";2;5;7;9;11;11;11;11;11;11;11
"117";2;5;7;9;11;11;11;11;11;11;11
"118";2;5;7;9;11;11;11;11;11;11;11
"119";2;5;7;9;11;11;11;11;11;11;11
"120";2;5;7;9;11;11;11;11;11;11;11
"121";2;5;7;9;11;11;11;11;11;11;11
"122";2;5;7;9;10;13;14;17;19;21;23
"123";2;5;7;9;10;13;14;17;19;21;23
"124";2;5;7;9;11;11;11;11;11;11;11
"125";2;5;7;9;11;11;11;11;11;11;11
"126";2;5;7;9;10;13;14;17;19;21;22
"127";2;5;7;9;11;11;11;11;11;11;11
"128";2;5;7;9;10;13;14;17;19;21;23
"129";2;5;7;9;11;11;11;11;11;11;11
"130";2;5;7;9;10;13;14;17;19;21;22
"131";2;5;7;9;11;11;11;11;11;11;11
"132";2;5;7;9;10;13;14;17;19;21;22
"133";2;5;7;9;10;13;14;17;19;21;22
"134";2;5;7;9;11;11;11;11;11;11;11
"135";2;5;7;9;11;11;11;11;11;11;11
"136";2;5;7;9;11;11;11;11;11;11;11
"137";2;5;7;9;11;11;11;11;11;11;11
"138";2;5;7;9;10;13;14;17;19;21;23
"139";2;5;7;9;11;11;11;11;11;11;11
"140";2;5;7;9;10;13;14;17;19;21;23
"141";2;5;7;9;10;13;14;17;19;21;23
"142";2;5;7;9;10;13;14;17;19;21;22
"143";2;5;7;9;10;13;14;17;19;21;22
