"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16988";"35680";"47.61";"****";""
"1845";"2380";" 77.52";"914.556";"company";"6.723942e-201"
"1671";"2225";" 75.10";"718.892";"build";"2.330822e-158"
"1117";"1384";" 80.71";"632.295";"ai";"1.583727e-139"
" 510";" 553";" 92.22";"448.194";"product";" 1.782690e-99"
" 566";" 637";" 88.85";"442.275";"dollar";" 3.462820e-98"
" 340";" 351";" 96.87";"344.774";"software";" 5.822316e-77"
" 422";" 470";" 89.79";"339.642";"billion";" 7.636260e-76"
" 439";" 522";" 84.10";"282.756";"data";" 1.884095e-63"
" 630";" 825";" 76.36";"279.890";"technology";" 7.935690e-63"
" 329";" 361";" 91.14";"276.965";"scale";" 3.442772e-62"
" 575";" 742";" 77.49";"271.255";"market";" 6.046138e-61"
" 328";" 371";" 88.41";"250.169";"cost";" 2.385140e-56"
" 361";" 429";" 84.15";"232.397";"sell";" 1.789263e-52"
" 397";" 485";" 81.86";"231.151";"model";" 3.345052e-52"
" 288";" 327";" 88.07";"216.609";"customer";" 4.965664e-49"
" 382";" 470";" 81.28";"216.398";"engineer";" 5.523251e-49"
" 364";" 454";" 80.18";"195.500";"fast";" 2.003710e-44"
" 212";" 231";" 91.77";"181.801";"machine";" 1.959281e-41"
" 429";" 571";" 75.13";"176.184";"million";" 3.300682e-40"
" 247";" 285";" 86.67";"175.680";"car";" 4.252652e-40"
" 289";" 349";" 82.81";"175.037";"space";" 5.875804e-40"
" 220";" 246";" 89.43";"173.674";"network";" 1.166331e-39"
" 783";"1183";" 66.19";"169.264";"basically";" 1.071584e-38"
"1148";"1848";" 62.12";"164.487";"big";" 1.183962e-37"
" 178";" 190";" 93.68";"162.555";"price";" 3.129323e-37"
" 291";" 361";" 80.61";"159.196";"hundred";" 1.695489e-36"
" 179";" 195";" 91.79";"153.452";"productivity";" 3.051592e-35"
" 352";" 462";" 76.19";"153.260";"buy";" 3.360955e-35"
" 169";" 181";" 93.37";"152.712";"trillion";" 4.427315e-35"
" 146";" 149";" 97.99";"152.222";"vehicle";" 5.667490e-35"
" 309";" 395";" 78.23";"150.097";"thousand";" 1.650751e-34"
" 709";"1075";" 65.95";"149.489";"system";" 2.241727e-34"
" 179";" 197";" 90.86";"148.563";"consumer";" 3.572777e-34"
" 768";"1182";" 64.97";"147.749";"money";" 5.382110e-34"
" 159";" 169";" 94.08";"147.014";"cheap";" 7.791516e-34"
" 317";" 412";" 76.94";"143.750";"type";" 4.030491e-33"
" 160";" 172";" 93.02";"142.891";"infrastructure";" 6.210790e-33"
" 360";" 483";" 74.53";"142.277";"small";" 8.459360e-33"
"3234";"5922";" 54.61";"139.401";"um";" 3.598594e-32"
" 279";" 357";" 78.15";"134.835";"invest";" 3.588645e-31"
" 159";" 176";" 90.34";"129.465";"manufacture";" 5.364667e-30"
" 183";" 212";" 86.32";"128.113";"platform";" 1.060553e-29"
" 186";" 217";" 85.71";"127.075";"growth";" 1.788771e-29"
" 314";" 419";" 74.94";"126.946";"industry";" 1.909037e-29"
" 120";" 122";" 98.36";"126.400";"drone";" 2.513834e-29"
" 444";" 638";" 69.59";"125.828";"pay";" 3.352754e-29"
" 124";" 128";" 96.88";"124.986";"cell";" 5.124842e-29"
" 328";" 445";" 73.71";"123.027";"drive";" 1.375321e-28"
" 195";" 233";" 83.69";"122.394";"healthcare";" 1.892909e-28"
" 188";" 223";" 84.30";"121.127";"computer";" 3.583991e-28"
" 469";" 690";" 67.97";"116.920";"spend";" 2.988120e-27"
" 265";" 347";" 76.37";"116.173";"energy";" 4.355667e-27"
" 169";" 197";" 85.79";"115.737";"code";" 5.426025e-27"
" 263";" 345";" 76.23";"114.399";"service";" 1.065470e-26"
" 153";" 175";" 87.43";"111.776";"advance";" 3.999532e-26"
" 290";" 392";" 73.98";"110.477";"large";" 7.702362e-26"
" 755";"1209";" 62.45";"110.432";"business";" 7.881117e-26"
" 425";" 622";" 68.33";"108.915";"human";" 1.694335e-25"
" 170";" 204";" 83.33";"104.960";"access";" 1.246125e-24"
" 123";" 135";" 91.11";"102.799";"slow";" 3.708708e-24"
" 176";" 215";" 81.86";"101.717";"ton";" 6.404107e-24"
" 237";" 312";" 75.96";"101.417";"economy";" 7.453436e-24"
" 100";" 103";" 97.09";"101.373";"patient";" 7.620900e-24"
" 211";" 271";" 77.86";"100.165";"amount";" 1.402151e-23"
"  94";"  96";" 97.92";" 97.658";"capability";" 4.972672e-23"
" 280";" 387";" 72.35";" 96.001";"process";" 1.148455e-22"
" 157";" 189";" 83.07";" 95.767";"field";" 1.292288e-22"
" 150";" 179";" 83.80";" 94.447";"internet";" 2.517281e-22"
"  97";" 102";" 95.10";" 92.475";"chip";" 6.817523e-22"
" 141";" 167";" 84.43";" 91.191";"ten";" 1.304753e-21"
" 112";" 124";" 90.32";" 91.003";"insurance";" 1.434795e-21"
" 112";" 124";" 90.32";" 91.003";"agent";" 1.434795e-21"
" 105";" 114";" 92.11";" 90.768";"disease";" 1.615451e-21"
" 224";" 299";" 74.92";" 90.124";"low";" 2.237244e-21"
" 101";" 109";" 92.66";" 88.954";"efficient";" 4.040579e-21"
" 103";" 112";" 91.96";" 88.606";"supply";" 4.817329e-21"
" 351";" 515";" 68.16";" 88.412";"level";" 5.315040e-21"
" 162";" 201";" 80.60";" 88.172";"intelligence";" 5.999687e-21"
"  90";"  94";" 95.74";" 87.539";"autonomous";" 8.261934e-21"
" 187";" 241";" 77.59";" 87.440";"rate";" 8.686224e-21"
" 776";"1286";" 60.34";" 86.675";"problem";" 1.278985e-20"
" 169";" 213";" 79.34";" 86.495";"quickly";" 1.401242e-20"
"  90";"  96";" 93.75";" 82.150";"robot";" 1.261298e-19"
" 143";" 175";" 81.71";" 81.995";"nuclear";" 1.364065e-19"
" 874";"1480";" 59.05";" 81.042";"sort";" 2.209337e-19"
" 109";" 124";" 87.90";" 80.985";"deliver";" 2.274514e-19"
"  84";"  88";" 95.45";" 80.953";"battery";" 2.311406e-19"
"  98";" 108";" 90.74";" 80.784";"stock";" 2.518353e-19"
" 112";" 129";" 86.82";" 79.799";"deploy";" 4.144359e-19"
"  77";"  79";" 97.47";" 78.901";"engine";" 6.531333e-19"
" 130";" 157";" 82.80";" 78.292";"information";" 8.889293e-19"
" 122";" 145";" 84.14";" 77.873";"asset";" 1.098700e-18"
" 111";" 129";" 86.05";" 76.675";"increase";" 2.015220e-18"
" 230";" 320";" 71.88";" 76.208";"easy";" 2.553323e-18"
"  69";"  69";"100.00";" 76.068";"compute";" 2.740314e-18"
" 306";" 450";" 68.00";" 75.949";"solve";" 2.911126e-18"
" 127";" 154";" 82.47";" 75.334";"sale";" 3.974333e-18"
" 207";" 284";" 72.89";" 73.321";"half";" 1.101700e-17"
"  77";"  81";" 95.06";" 73.281";"solar";" 1.124659e-17"
" 121";" 146";" 82.88";" 73.091";"air";" 1.238141e-17"
" 140";" 176";" 79.55";" 72.310";"launch";" 1.838756e-17"
" 184";" 247";" 74.49";" 72.058";"train";" 2.089527e-17"
"  65";"  65";"100.00";" 71.650";"neural";" 2.569067e-17"
" 119";" 144";" 82.64";" 71.117";"store";" 3.367268e-17"
" 113";" 135";" 83.70";" 70.769";"expensive";" 4.015689e-17"
" 518";" 836";" 61.96";" 70.670";"high";" 4.222587e-17"
" 124";" 152";" 81.58";" 70.609";"investment";" 4.355413e-17"
"1612";"2930";" 55.02";" 70.174";"year";" 5.428982e-17"
" 137";" 173";" 79.19";" 69.502";"google";" 7.634770e-17"
" 146";" 188";" 77.66";" 68.410";"tool";" 1.328021e-16"
"  83";"  92";" 90.22";" 67.126";"truck";" 2.547588e-16"
"  65";"  67";" 97.01";" 65.682";"layer";" 5.298831e-16"
"  67";"  70";" 95.71";" 65.063";"therapy";" 7.255256e-16"
"  61";"  62";" 98.39";" 64.195";"reactor";" 1.127185e-15"
" 115";" 142";" 80.99";" 63.662";"add";" 1.476722e-15"
"  84";"  95";" 88.42";" 63.598";"cancer";" 1.525792e-15"
"  63";"  65";" 96.92";" 63.481";"robotics";" 1.619182e-15"
"  99";" 118";" 83.90";" 62.496";"digital";" 2.669271e-15"
"  62";"  64";" 96.88";" 62.381";"hardware";" 2.830651e-15"
" 300";" 455";" 65.93";" 62.027";"numb";" 3.387824e-15"
" 566";" 939";" 60.28";" 62.015";"create";" 3.408875e-15"
"  69";"  74";" 93.24";" 61.902";"cloud";" 3.609065e-15"
" 104";" 126";" 82.54";" 61.844";"giant";" 3.718304e-15"
"  71";"  77";" 92.21";" 61.527";"logistic";" 4.366953e-15"
"  86";"  99";" 86.87";" 61.336";"application";" 4.810968e-15"
"  92";" 108";" 85.19";" 61.312";"demand";" 4.871010e-15"
"  90";" 105";" 85.71";" 61.294";"size";" 4.914865e-15"
" 184";" 256";" 71.88";" 60.856";"test";" 6.140336e-15"
" 172";" 236";" 72.88";" 60.818";"capital";" 6.261046e-15"
"  65";"  69";" 94.20";" 60.165";"commercial";" 8.724384e-15"
"  72";"  79";" 91.14";" 60.140";"lab";" 8.835638e-15"
"  98";" 118";" 83.05";" 59.611";"claim";" 1.155673e-14"
" 114";" 143";" 79.72";" 59.342";"fly";" 1.325107e-14"
"  68";"  74";" 91.89";" 58.290";"generate";" 2.261603e-14"
" 133";" 174";" 76.44";" 58.244";"global";" 2.315164e-14"
" 159";" 217";" 73.27";" 57.632";"investor";" 3.159780e-14"
"  67";"  73";" 91.78";" 57.213";"spacex";" 3.911095e-14"
" 102";" 126";" 80.95";" 56.350";"ship";" 6.064135e-14"
"  85";" 100";" 85.00";" 56.200";"revenue";" 6.547782e-14"
" 461";" 755";" 61.06";" 55.920";"long";" 7.546757e-14"
" 134";" 178";" 75.28";" 54.907";"massive";" 1.263998e-13"
"  60";"  64";" 93.75";" 54.718";"satellite";" 1.391562e-13"
" 100";" 124";" 80.65";" 54.436";"cycle";" 1.606292e-13"
"  57";"  60";" 95.00";" 54.109";"fuel";" 1.896810e-13"
"  57";"  60";" 95.00";" 54.109";"architecture";" 1.896810e-13"
" 330";" 519";" 63.58";" 53.862";"team";" 2.150385e-13"
"  86";" 103";" 83.50";" 53.324";"produce";" 2.828281e-13"
"  51";"  52";" 98.08";" 53.170";"electronic";" 3.059116e-13"
"  76";"  88";" 86.36";" 53.111";"warfare";" 3.152224e-13"
"  48";"  48";"100.00";" 52.886";"mobile";" 3.535090e-13"
" 162";" 226";" 71.68";" 52.826";"hit";" 3.644628e-13"
" 289";" 447";" 64.65";" 52.703";"open";" 3.880898e-13"
" 127";" 169";" 75.15";" 51.617";"brain";" 6.744016e-13"
"  68";"  77";" 88.31";" 51.246";"unit";" 8.148396e-13"
"  72";"  83";" 86.75";" 51.082";"army";" 8.857983e-13"
"  49";"  50";" 98.00";" 50.966";"electric";" 9.396560e-13"
"  54";"  57";" 94.74";" 50.830";"aircraft";" 1.007308e-12"
"  89";" 109";" 81.65";" 50.789";"debt";" 1.028625e-12"
"  89";" 109";" 81.65";" 50.789";"speed";" 1.028625e-12"
" 338";" 539";" 62.71";" 50.005";"turn";" 1.533841e-12"
"  48";"  49";" 97.96";" 49.865";"cure";" 1.647228e-12"
"  93";" 116";" 80.17";" 49.465";"dod";" 2.019092e-12"
" 694";"1206";" 57.55";" 49.378";"stuff";" 2.110626e-12"
"  55";"  59";" 93.22";" 49.284";"mode";" 2.214239e-12"
