"";"classe 1";"classe 2";"classe 3"
"uh";1;1;0,061
"person";1;0;0
"thing";0;1;1
"um";0;1;1
"yeah";0,038;0,009;1
"work";0;0,073;1
"year";0;1;1
"kind";0,743;0,117;1
"time";0;1;1
"company";0;1;1
"build";0;1;1
"world";1;0;1
"good";1;0;1
"start";0,004;0;1
"big";0;1;1
"talk";1;0;0,315
"back";1;0;0,955
"great";1;0;1
"ai";0;1;1
"sort";0;1;1
"problem";0;1;1
"interest";1;0,085;0,841
"call";0,012;1;1
"business";0;1;1
"guy";1;0;1
"money";0;1;1
"stuff";0;1;1
"happen";1;1;0
"part";1;0,081;0,105
"basically";0;1;1
"country";1;0,013;0
"system";0;1;1
"government";1;1;0
"give";1;0,001;0,879
"state";1;1;0
"put";0,043;1;0
"learn";0;0,12;1
"hard";0;1;1
"day";1;0;1
"bite";1;0;1
"create";0;1;1
"school";1;0;1
"kid";1;0;1
"end";0,305;1;1
"run";0,667;1;0,15
"idea";1;0;0
"bad";1;1;0
"love";1;0;1
"point";0,657;0,563;1
"change";0,007;1;0,067
"important";1;0,005;0
"high";0;1;1
"today";1;0;1
"technology";0;1;1
"find";1;0;1
"understand";1;1;0,074
"place";1;0;0
"america";1;0;0
"market";0;1;1
"life";1;0;1
"feel";1;0;0,014
"long";0;1;1
"job";1;0,001;1
"pretty";0;1;1
"spend";0;1;1
"american";1;0;0,264
"question";1;0;1
"area";0;1;1
"side";1;0,186;0
"pay";0;1;1
"dollar";0;1;1
"leave";1;0,031;0
"human";0;1;1
"bring";1;0;1
"joe";1;0;1
"friend";1;0;1
"show";1;0;1
"million";0;1;1
"grow";1;0;1
"amaze";1;0;1
"product";0;1;1
"excite";0,736;0;1
"guess";0,928;0,264;1
"term";0;1;0,162
"early";0,007;0,131;1
"case";0;1;0,659
"move";0,03;1;1
"china";1;1;0
"live";1;0;1
"care";0,438;0,819;1
"real";0,001;1;1
"data";0;1;1
"reason";1;0,034;0
"focus";0;1;1
"culture";1;0;1
"level";0;1;1
"turn";0;1;1
"power";0,007;1;0
"ago";0,503;0,15;1
"sense";1;1;0
"team";0;1;1
"society";1;0;0
"top";0;1;1
"model";0;1;1
"crazy";1;1;0
"billion";0;1;1
"hear";1;0;1
"buy";0;1;1
"write";1;0;1
"push";1;0;0
"engineer";0;1;1
"figure";0;1;1
"small";0;1;1
"fix";1;0,45;0
"tech";0,066;1;0,998
"book";1;0;1
"huge";0;1;1
"sell";0;1;1
"fight";1;0,004;0
"numb";0;1;1
"fast";0;1;1
"drive";0;1;1
"solve";0;1;1
"open";0;1;1
"future";1;0;1
"teach";1;0;1
"break";1;1;0
"couple";0,015;1;1
"university";1;0;1
"city";1;1;0
"house";1;1;0
"cool";0;1;1
"base";0;1;1
"law";1;1;0
"issue";1;1;0
"policy";1;1;0
"remember";1;0;1
"public";1;1;0
"industry";0;1;1
"win";1;1;0
"thousand";0;1;1
"program";0,006;1;1
"young";1;0;1
"education";1;0;1
"man";1;0;1
"story";1;0;1
"type";0;1;1
"set";0;1;1
"talent";0,001;0,053;1
"bunch";0;1;1
"fact";1;0,031;0
"deal";0,144;1;0,005
"cost";0;1;1
"process";0;1;1
"wrong";1;0;0,406
"student";1;0;1
"true";1;0,002;1
"large";0;1;1
"health";0,001;1;0,301
"fund";0;1;1
"family";1;0;1
"scale";0;1;1
"play";1;0;1
"matter";1;0,167;0,209
"group";1;1;0
"realize";1;1;0,001
"innovation";0,009;1;1
"absolutely";0,467;1;0,034
"war";1;1;0
"history";1;0,001;0
"gonna";0,079;0,389;1
"lead";1;1;0
"software";0;1;1
"month";0;1;1
"challenge";0,07;0,407;1
"free";1;1;0
"view";1;0,001;0
"space";0;1;1
"leader";1;0;0,189
"force";1;1;0
"smart";1;0;1
"invest";0;1;1
"energy";0;1;1
"control";0,001;1;0
"hundred";0;1;1
"customer";0;1;1
"service";0;1;1
"read";1;0;1
"opportunity";0,078;0,529;1
"home";1;0;1
"experience";1;0;1
"entrepreneur";1;0;1
"agree";1;0,062;0
"president";1;1;0
"rule";1;1;0
"stop";1;1;0
"speak";1;0;1
"order";0;1;0,302
"involve";1;0,591;0
"hire";0,125;0;1
"wow";0,002;0,47;1
"easy";0;1;1
"defense";0;1;1
"economy";0;1;1
"super";0,004;0,451;1
"support";1;1;0
"optimistic";1;0;1
"hope";1;0;0,044
"car";0;1;1
"low";0;1;1
"community";1;0;1
"positive";1;0;1
"answer";1;0,605;0,922
"totally";1;0,049;0
"meet";1;0;1
"lose";1;1;0
"half";0;1;1
