the;12561;7526;6410
and;12211;7581;5761
to;10942;6878;5373
you;9961;6400;4308
of;10114;6040;4917
a;9994;6100;4378
i;6834;5929;3733
that;8990;5036;4464
in;6854;4559;3813
is;6716;3666;3264
like;5883;3602;2494
it;6203;3542;2814
we;5133;2865;2532
so;6530;3300;2533
know;5010;3368;2406
it_s;4218;2389;1940
this;4231;2648;2265
think;3837;2550;2141
have;3948;2400;1951
was;2871;2469;1520
for;3911;2385;1735
but;3813;2341;2001
are;3404;1977;1775
they;2724;1723;1738
what;3200;2028;1605
on;3436;2037;1767
be;3062;1910;1533
do;3049;1751;1335
with;2723;1850;1322
about;2524;2108;1288
right;2998;1571;1462
just;2998;1583;1299
that_s;2517;1541;1143
not;2285;1414;1512
going;2537;1305;1060
if;2408;1228;1069
at;2545;1540;902
all;2443;1352;1139
really;2383;1453;951
or;2312;1096;1000
lot;2053;1417;1036
there;2070;1231;1021
as;1797;1196;1005
how;2047;1176;819
can;2365;1027;769
you_re;1834;1205;703
because;2001;1291;1143
these;2083;1100;992
there_s;1848;1016;900
one;1910;1169;850
more;1814;877;785
get;1872;1020;811
very;1654;1024;794
then;1959;884;752
we_re;1753;844;695
our;1483;1042;773
them;1519;898;855
want;1300;1077;816
some;1563;1009;811
make;1720;873;801
were;1345;926;662
from;1398;1068;754
don_t;1325;984;804
when;1382;1026;677
well;1438;1138;790
now;1665;846;794
my;962;1407;486
out;1673;985;630
an;1532;1008;645
way;1562;836;726
your;1202;1086;493
i_m;930;1165;542
they_re;1221;677;681
where;1451;840;680
had;1279;884;594
actually;1485;735;643
mean;1383;815;671
up;1392;915;571
us;1197;902;648
which;1419;657;581
he;460;875;473
go;1247;845;464
who;780;961;634
would;1107;686;513
me;882;1048;512
by;1064;564;628
their;908;595;561
got;916;700;441
doing;1140;591;453
other;1023;593;562
something;1036;622;486
say;866;627;558
could;1082;423;391
no;809;618;416
s;863;668;449
need;893;437;422
has;879;436;526
been;785;563;489
those;967;489;328
into;976;522;369
much;939;461;339
take;898;445;348
look;783;497;398
even;753;463;420
what_s;643;436;352
see;670;465;432
come;637;567;399
here;597;620;349
did;597;538;312
first;676;458;324
most;667;433;343
than;742;387;337
should;535;350;424
new;717;370;265
said;505;513;332
over;715;325;331
why;539;416;323
different;702;321;252
also;685;394;310
will;607;298;306
little;536;538;237
help;567;399;250
being;522;406;317
tell;498;494;262
better;604;358;242
maybe;542;312;265
around;557;333;247
too;454;341;267
two;594;257;198
let_s;393;308;194
trying;475;282;273
every;524;272;195
probably;556;279;204
able;607;214;182
many;448;275;230
we_ve;513;212;207
down;537;258;204
still;496;252;208
does;502;220;217
didn_t;404;292;226
obviously;476;249;278
always;362;325;217
through;474;230;201
he_s;161;350;179
only;436;228;217
everything;475;224;210
best;358;327;171
getting;416;225;194
exactly;439;210;162
can_t;338;203;221
use;522;119;139
any;370;205;202
you_ve;339;242;146
i_ve;264;331;163
his;164;351;172
oh;370;269;150
off;425;185;149
